,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,,1.3 Review/evaluation of the Concessionaires KPI - BEM.,,"Submission of Monthly, Quarterly, and Yearly Report within 10 days from the receipt of report from the concessionnaires",,,,,,,,,,,
14,,MFO2: Operations and Maintenance of Water Supply and Sewerage Systems in its Service Area,,,,,,,,,,,,,
15,,Performance Indicator 1: Support to the Concessionaires in the implementation of water supply projects,,,,,,,,,,,,,
16,,1.1 Monitoring of Concessionaires' water supply projects,,,RJVA/East and West Divisions Assigned Personnel,,,,,,,,,,
17,,    1.1.1 West Zone downstream projects (MWSI),,Submission of Quarterly Monitoring Report 10 days from the end of the quarter,,,,,,,,,,,
18,,    1.1.2 East Zone downstream projects (MWCI),,Submission of Quarterly Monitoring Report 10 days from the end of the quarter,,,,,,,,,,,
19,,"    1.1.3 Conduct regular on-site inspections to validate accomplishments 
              of the ongoing projects of the concessionaires",,Submission of Quarterly Inspection Report,,,,,,,,,,,
20,,1.2 Monitoring of concessionaires deepwell operations,,Submission of Monitoring Report within 10 days from the receipt of report from the concessionaires,,,,,,,,,,,
21,,1.3 Address stakeholder concerns relative to the implementation and operation of water supply.,,"100% response to stakeholder concerns in compliance with the Citizen's Charter (ARTA)
",,,,,,,,,,,
22,,B. Support to Operations (STO),,,,,,,,,,,,,
23,,Performance Indicator 1: Provision of technical information and support to other departments in the preparation and implementation of various COB funded projects and contracts,,,,,,,,,,,,,
24,,1.1 MWSS Multi-Level Parking Project-Phase 2 (Design & Build),,100% Progress Accomplishment ,RJVA/AME/MCMP,,,,,,,,,,
25,,1.2 Renovation of the 5th floor of MWSS Administration Building,,100% Progress Accomplishment,FOMD Assigned Personnel,,,,,,,,,,
26,,1.3 Maintenance Works of MWSS Multi-Purpose Hall,,100% Progress Accomplishment,FOMD Assigned Personnel,,,,,,,,,,
27,,1.4 Maintenance and Restoration of MWSS Arroceros Building,,85% Progress Accomplishment ,FOMD Assigned Personnel,,,,,,,,,,
28,,Performance Indicator 2: Client Satisfaction,,,,,,,,,,,,,
29,,2.1 Submission of Monthly Client Satisfaction Survey Report,,"Submission to the CART on the 15th day of the following month
90% of CSM Survey SQDs rated as ""Agree"" and ""Strongly Agree""",ACH/FOMD Personnel,,,,,,,,,,
30,,Performance Indicator 3: Citizen's Charter ,,,,,,,,,,,,,
31,,"3.1 Update of Citizen's Charter Departamental entry, if necessary",,Submission to the CART on 15 January of the rating year,FOMD Assigned Personnel,,,,,,,,,,
32,,Performance Indicator 4: Office Performance Commitment and Review (OPCR),,,,,,,,,,,,,
33,,4.1 Submission of 2026 OPCR,,Submission to PPPRD on or before 4th week of November,FOMD Assigned Personnel,,,,,,,,,,
34,,4.2 Submission of OPCR Annual Accomplishment Report,,Submission of Annual Accomplishment Report on or before the 4th Monday of 2025,FOMD Assigned Personnel,,,,,,,,,,
35,,4.3 Submission of Quarterly OPCR Accomplishments,,Submission to PPPRD within eight (8) calendar days from the close of each quarter,FOMD Assigned Personnel,,,,,,,,,,
36,,4.4 Submission of OPCR accomplishments with documentary evidence for PMT rating,,"Submitted to PPPRD within 20 days after request/ memorandum
Evidence aligned with specified targets. PPPRD request for additional documents not exceeding one instance.",FOMD Assigned Personnel,,,,,,,,,,
37,,C. General Administrative Services (GAS) ,,,,,,,,,,,,,
38,,1.14 Competition Policy Committee,,100% Compliance on GCG Competition Policy,MTVV,,,,,,,,,,
39,,Performance Indicator 1: Procurement (Compliance to the Submitted PPMP),,,,,,,,,,,,,
40,,1.1 Procurement of Construction Takeoff and Estimating Software (Planswift),,"TOR submitted to the BAC by February  2025, Complete submission of supporting documents as required by R.A. 9184",FOMD Assigned Personnel,,,,,,,,,,
41,,"1.2 Construction of MWSS Bulwagan Center at the Ground Floor with Gym, Clinic, and GAD Center",,"TOR submitted to the BAC by May 2025, Complete submission of supporting documents as required by R.A. 9184  ",FOMD Assigned Personnel,,,,,,,,,,
42,,1.3 Renovation of Existing Residential Units at Balara Filter,,"TOR submitted to the BAC by May 2025, Complete submission of supporting documents as required by R.A. 9184 ",FOMD Assigned Personnel,,,,,,,,,,
43,,1.4 Renovation of MWSS Document Center and Archives Storage (1200 sqm approx.),,"TOR submitted to the BAC by August 2025, Complete submission of supporting documents as required by R.A. 9184",FOMD Assigned Personnel,,,,,,,,In-house,,
44,,1.6 Laiban Field Office,,"TOR submitted to the BAC by February 2025, Complete submission of supporting documents as required by R.A. 9184",FOMD Assigned Personnel,,,,,,,,,,
45,,Performance Indicator 2: ISO 9001:2015 Certification,,,,,,,,,,,,,
46,,"2.1 Compilation of the required documents (ROR, ROR Matrix, Manual of Operations, QMSP) of the MWSS",,100% Signed Controlled Copy of Documents prior to Audit,TIRDD,,,,,,,,,,
47,,"Performance Indicator 6: Actions/Additional controls of Risks Assessed as ""Operations not Permissible"" and ""High Priority""",,,,,,,,,,,,,
48,,Risk Level: Operations not Permissible,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,Risk Level: High Priority,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,Performance Indicator 3: Research and Standards,,,,,,,,,,,,,
53,,6.1 Assistance on approval of matrixes of MWSS Standards for pipelines and fittings,,"100% Participation in all meetings

<make this more specific (e.g. no. of target matrixes approved by the BoT)>",TIRDD/ RJVA/ JLFF,,,,,,,,,,
54,,3.1 Assistance on approval and submission of categories for Standard Drawings for water supply and distribution,,Submission of seven (7) categories for standard drawings and approval of BoT,TIRDD/ RJVA/ JLFF,,,,,,,,,,
55,,Performance Indicator 5:Submission of 2026 OPCR,,,,,,,,,,,,,
56,,5.1 Submission of 2026 OPCR,,Submission on or before the 4th week of November 2025,FOMD Division Managers,,,,,,,,,,
57,,Performance Indicator 4: Updating of FOMD ISO related Documents (ISO 9001:2015 Certification),,,,,,,,,,,,,
58,,"4.1 Updating of Manual of Operations (MOO), QMSP, ROR, and ROR Matrix",,"Updated Manual of Operations and QMSP, if necessary, by Q3 of 2025
Updated ROR and RORM of 2025 prioir to IQA",FOMD Division Managers,,,,,,,,,,
59,,Performance Indicator 5: Product Presentation,,,,,,,,,,,,,
60,,5.1 Facilitation of product presentation,,"100% of the requests acted upon within 3 days.
Submission of Post-Product/ Service Proposal Information sheet within 10 days after the product presentation.",TIRDD,,,,,,,,,,
61,,"Performance Indicator 6: Implement Actions/ Additional controls of risks assessed as ""Operations not Permissible"" and ""High Priority""",,,,,,,,,,,,,
62,,6.1 Delay in the processing of cash advance request and liquidation affecting the project schedule and planning of project activities ,,This is not applicable because the implementation of PMO projects is no longer included in the FOMD OPCR.,Not Applicable to FOMD.,,,,,,,,,,
63,,"6.2 Insufficient coverage of insurance and no hazard pay, etc. for the personnel assigned",,"This is not applicable because the implementation of PMO projects is no longer included in the FOMD OPCR.




",Not Applicable to FOMD.,,,,,,,,,,
64,,"6.2 Hire additional COS to focus on documentation in FOMD and implement a centralized digital filing system for accessible project communications and documents, involving all personnel.

Risk: Inadequate documentation and record-keeping of all communications, project documents, and data.",,Hire a COS by 1st Quarter of 2025,FOMD,,,,,,,,,,
65,,"6.3 Informing the involved and concerned department/s before project implementation (e.g. securing the site, securing land titles for all properties and facilities in advance, relocating of affected existing utilities, etc.)

Risk: Failure to secure timely possession of the necessary site
         Unavailable land titles of out properties/facilities",,Inform the concern department the 3 months before project implementation ,FOMD,,,,,,,,,,
66,,6.6 Limited and untimely support from LGUs & NGAs,,This is not applicable because the implementation of PMO projects is no longer included in the FOMD OPCR.,Not Applicable to FOMD.,,,,,,,,,,
67,,"6.4 Include a checklist of necessary documents and requirements in the Terms of Reference of every project. Remind the winning bidder upon issuance of NTP to secure timely approvals from external stakeholders.

Risk: Delay in external approval processes of the projects",,"TOR submitted to the BAC, Complete submission of supporting documents as required by R.A. 9184 ",FOMD,,,,,,,,,,
68,,Performance Indicator 7: Implementation of actions on non-conformities and/or observations from third-party and/or internal quality audits,,,,,,,,,,,,,
69,,"7.1 Hire additional COS to focus on documentation in FOMD and implement a centralized digital filing system for accessible project communications and documents, involving all personnel.

 Findings: In view of the insufficient manpower and absence of a designated official Records Custodian, the FOMD can consider hiring a Contract of Service personnel for this task in order to keep a central control of the department and to ensure an updated digital copy of all documents and communications.",,Hire a COS by 1st Quarter of 2025,FOMD,,,,,,,,,,
70,,Performance Indicator 8: Budget Utilization,,,,,,,,,,,,,
71,,8.1 Utilization of funds as per approved Corporate Operating Budget (COB),,90% utilized funds by end of Year,FOMD,,,,,,,,,,
72,,Performance Indicator 9: COA Audit Observations,,,,,,,,,,,,,
73,,"9.1 Submission of Reply and Action Plan relative to COA Audit observations and recommendations, if applicable",,Reply & Action Plan submitted to Finance within forty (40) CDs after receipt of the request from the Finance Department,FOMD,,,,,,,,,,
74,,Performance Indicator 10: Implementation of Reply and Action Plan,,,,,,,,,,,,,
75,,"10.1 Implementation of Reply and Action Plan for the 2024 Audit, if applicable",,40% of items recommended fully implemented by November of 2024,FOMD,,,,,,,,,,
76,,Performance Indicator 11: Membership to Ad-Hoc Committee,,,,,,,,,,,,,
77,,11.1 Bids and Awards Committee,,"Review and approve TOR, Engineering plans, and Procurement documents .
100% Participation(Participation Assessment and Certification by the Committee Chairperson)",RJVA,,,,,,,,,,
78,,11.2 BAC - Technical Working Group,,"Review TOR, Engineering plans, and Procurement documents
100% Participation(Participation Assessment and Certification by the Committee Chairperson)",AME/MCMP,,,,,,,,,,
79,,11.3 BAC - Secretariat,,"Assist the BAC and TWG, Administrative works
100% Participation (Participation Assessment and Certification by the Committee Chairperson)",AEAC,,,,,,,,,,
80,,11.4 Technical Estimating Committee,,100% Preparation of ABC for all MWSS procurement Projects. (Participation Assessment and Certification by the Committee Chairperson),MTVV/JLFF,,,,,,,,,,
81,,11.5 Final Inspection and Acceptance,,"100% Participation on all Final Inspection and Acceptance of all MWSS procurement projects.
(Participation Assessment and Certification by the Committee Chairperson)",AME,,,,,,,,,,
82,,11.6 Disposal Committee,,100% Participation on the Disposal Committee. (Participation Assessment and Certification by the Committee Chairperson),AME,,,,,,,,,,
83,,11.7 Disaster Control Committee,,"100% Participation on the Disaster Control Committee,
(Participation Assessment and Certification by the Committee Chairperson)",AME/MCMP/JLFF/MTVV,,,,,,,,,,
84,,11.8 Negotiation Committee for the unsolicited proposal by San Miguel Holdings Corporation,,"100% Participation on the Negotiation Committee.
(Participation Assessment and Certification by the Committee Chairperson)",RJVA/MCMP/AEAC,,,,,,,,,,
85,,11.9 Harmonization of Standard Drawings,,100% Participation on the Harmonization of Standard Drawings. Participation Assessment and Certification by the Committee Chairperson),AEAC/JLFF,,,,,,,,,,
86,,11.10 Quality Management Representative (QMR),,100% Participation on QMR. (Participation Assessment and Certification by the Committee Chairperson),AEAC,,,,,,,,,,
87,,1.12 Raw Water Ad-hoc Committee and Technical Working Group ,,100% Participation on the creation of Raw Water Account Management Policy,MTVV,,,,,,,,,,
88,,11.11 Regular meter readings of the raw water consumers connected to the MWSS raw water conveyance system,,"Submission of Monthly Raw Water Reading Summary to Finance Department and Technical Assistance within five (5) days after the water reading activity.
100% Participation(Participation Assessment and Certification by the Committee Chairperson)",MTVV/WFG,,,,,,,,,,
89,,11.12 Committee on Guidelines and Procedures on Leasing the MWSS Right-of-Ways and its Idle Properties,,100% Participation(Participation Assessment and Certification by the Committee Chairperson),AME,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,"Legend:  1 - Quality, 2 - Efficiency, 3 - Timeliness",,,,,,,,,,,,,
103,,"II. Signature approvals after performance monitoring, assessment, feedback by To be signed after the Performance Review and Feedback by the PMT",,,,,,,,,,,,,
104,,Prepared by:,"Reviewed by:





Dept. Mgr., PPPRD",,"Recommended by:




                            ROMEO D. RODEROS
Deputy Administrator, Management Services and
       Chairman, Performance Management Team",,,,"The final rating was discussed with the ratee.
Approved and Rated by:




        LTGEN EMMANUEL B. SALAMAT (Ret)
                             Administrator",,,,,,
105,,RYAN JAMES V. AYSON,PATRICK JAMES B. DIZON,,"JOSE ALFREDO B. ESCOTO, JR.",,,,"LEONOR C. CLEOFAS, CESO IV",,,,,,
106,,"Manager, Field Operations Management Department","Acting Deputy Administrator, Engineering and Technical Operations Group",,PMT Chairperson,,,,Administrator,,,,,,
107,,,,,,,,,,,,,,,
108,,Rating of DA = Ave. of the opcr rating of the dept under the group,,,,,,,,,,,,,
109,,OPCR = IPCR of the Dept.,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,, ,,,,,,,,,,,,
